Execution Time: 18531 microseconds
search(1)-> true:, performed by thread: 1
search(14)-> true:, performed by thread: 1
search(74)-> false:, performed by thread: 1
search(100)-> false:, performed by thread: 1
search(563)-> false:, performed by thread: 1
search(33)-> false:, performed by thread: 1
search(679)-> false:, performed by thread: 1
search(64)-> false:, performed by thread: 1
search(472)-> false:, performed by thread: 1
search(112)-> false:, performed by thread: 1
search(51)-> true:, performed by thread: 1
search(242)-> false:, performed by thread: 1
search(35)-> false:, performed by thread: 1
search(197)-> false:, performed by thread: 1
search(791)-> false:, performed by thread: 1
search(66)-> false:, performed by thread: 1
search(46)-> false:, performed by thread: 1
search(833)-> false:, performed by thread: 1
search(36)-> false:, performed by thread: 1
search(74)-> false:, performed by thread: 1
search(24)-> false:, performed by thread: 1
search(225)-> false:, performed by thread: 1
search(268)-> false:, performed by thread: 1
search(866)-> false:, performed by thread: 1
search(11)-> false:, performed by thread: 1
search(21)-> false:, performed by thread: 1
search(9)-> true:, performed by thread: 1
search(77)-> true:, performed by thread: 1
search(255)-> false:, performed by thread: 5
search(4)-> false:, performed by thread: 5
search(150)-> true:, performed by thread: 5
search(128)-> false:, performed by thread: 5
search(7)-> true:, performed by thread: 5
search(84)-> false:, performed by thread: 5
search(94)-> true:, performed by thread: 5
search(10)-> true:, performed by thread: 5
search(3)-> false:, performed by thread: 5
search(5)-> false:, performed by thread: 5
search(13)-> false:, performed by thread: 5
search(79)-> false:, performed by thread: 5
search(64)-> false:, performed by thread: 5
search(47)-> true:, performed by thread: 5
search(112)-> false:, performed by thread: 5
search(51)-> true:, performed by thread: 5
search(22)-> true:, performed by thread: 5
search(35)-> false:, performed by thread: 5
search(89)-> false:, performed by thread: 1
search(97)-> false:, performed by thread: 5
search(66)-> true:, performed by thread: 5
search(71)-> false:, performed by thread: 1
search(83)-> true:, performed by thread: 1
search(36)-> true:, performed by thread: 1
search(74)-> true:, performed by thread: 1
search(406)-> false:, performed by thread: 5
search(24)-> false:, performed by thread: 1
search(28)-> true:, performed by thread: 1
search(225)-> false:, performed by thread: 5
search(86)-> true:, performed by thread: 1
search(102)-> false:, performed by thread: 1
search(11)-> false:, performed by thread: 1
search(21)-> false:, performed by thread: 1
search(9)-> true:, performed by thread: 1
search(77)-> true:, performed by thread: 1
search(89)-> true:, performed by thread: 1
search(4)-> true:, performed by thread: 1
search(15)-> true:, performed by thread: 1
search(12)-> true:, performed by thread: 1
search(25)-> true:, performed by thread: 5
search(102)-> false:, performed by thread: 3
